Zona,Latitudine,Longitudine,minmetrodist,meanmetrodist
lambrate,45.48765,9.235600000000002,0.02449268875154911,4.8813609435217336
via canelli,45.45085,9.206050000000001,0.16586130063016838,4.049217738144407
figino,45.471900000000005,9.055399999999999,1.6340130162620443,16.829622303373874
via calizzano,45.4485,9.198550000000001,0.1814186028694085,4.624433833978008
carrobbio,45.4592,9.190100000000001,0.030268473084369894,2.322164723640959
scala - manzoni,45.46865,9.189900000000002,0.009732644866638072,2.0702997187574743
lorenteggio,45.455349999999996,9.1417,0.04274543495223051,5.246154260408584
san babila,45.4674,9.1934,0.0044029302558043415,2.156082777336128
piazza napoli,45.4672,9.166450000000001,0.03755924898888134,4.047129815213948
plebisciti - susa,45.472750000000005,9.2104,0.044508166208666176,3.605450023635338
muggiano,45.424,9.0869,2.139148111297174,17.184457128329473
quartiere feltre,45.47995,9.2283,0.04322853351450195,5.331451034666665
porta nuova,45.484700000000004,9.1919,0.006638808100024853,1.9736003823191375
cadorna - castello,45.4707,9.177500000000002,0.005956589209537157,2.1165401428732262
cascina gobba,45.51655,9.25825,0.03798257253800276,8.610876711120047
parco lambro,45.50095,9.2476,0.09878146789972253,6.225934946244987
quadrilatero della moda,45.469300000000004,9.1943,0.005762075831987153,2.100824649947806
